5.232895282386275104e-01,8.187264293118681757e-02,-2.193770855561317026e-02,-1.290493454849138688e-01,-3.351313934036772579e-01,-7.673599570761436839e-01
5.128224795133637937e-01,8.023511892752939467e-02,-2.150794288503790619e-02,-1.272659649710274898e-01,-3.283008810006470268e-01,-7.512655932581391305e-01
5.025648313816302171e-01,7.863030056259585898e-02,-2.108641023490794020e-02,-1.254223725534474032e-01,-3.216807514101213683e-01,-7.357609112225956816e-01
4.925123926297421684e-01,7.705753827174394166e-02,-2.067296052901625852e-02,-1.235579568100587389e-01,-3.152357288269462821e-01,-7.207309498165244133e-01
4.826610560372466829e-01,7.551619513703297648e-02,-2.026744611222399198e-02,-1.216921727669757897e-01,-3.089461530036433645e-01,-7.061116547424133305e-01
4.730067966893488629e-01,7.400564665783357365e-02,-1.986972172418094082e-02,-1.198349670089624980e-01,-3.027994961033000365e-01,-6.918624352010009915e-01
4.635456703232958553e-01,7.252528052448656282e-02,-1.947964447284398007e-02,-1.179912112982102607e-01,-2.967868775782470658e-01,-6.779546909587843562e-01
4.542738117080517557e-01,7.107449639504753724e-02,-1.909707380780677546e-02,-1.161628255931028419e-01,-2.909014554536525909e-01,-6.643664534297838431e-01
4.451874330566079618e-01,6.965270567514868227e-02,-1.872187149345657178e-02,-1.143499420701445668e-01,-2.851376137762234864e-01,-6.510796526129224437e-01
4.362828224702824942e-01,6.825933130100544921e-02,-1.835390158197545626e-02,-1.125516454591397597e-01,-2.794905292675282094e-01,-6.380786538363913962e-01
4.275563424143749014e-01,6.689380752557995413e-02,-1.799303038620229250e-02,-1.107665142587993673e-01,-2.739559381332345445e-01,-6.253494839756787993e-01
4.190044282245511398e-01,6.555557970792154354e-02,-1.763912645237532273e-02,-1.089930518746225901e-01,-2.685300173330500417e-01,-6.128794719972945337e-01
4.106235866433447512e-01,6.424410410568848206e-02,-1.729206053277246302e-02,-1.072300299329710244e-01,-2.632093331323208663e-01,-6.006571511298324229e-01
4.024103943861714883e-01,6.295884767085077605e-02,-1.695170555826802997e-02,-1.054767337446604475e-01,-2.579908259410256255e-01,-5.886723155482384007e-01
3.943614967362661927e-01,6.169928784857887233e-02,-1.661793661082575785e-02,-1.037330915584559060e-01,-2.528718080253515854e-01,-5.769161400381536131e-01
